cancer_type,gender,age_at_diagnosis,n,n_predicted
Oropharynx,M,27,0,0.0048482332792975464
Oropharynx,M,28,0,9.598766010319987e-4
Oropharynx,M,29,0,-5.649779222746475e-4
Oropharynx,M,30,0,0.0016052570568907685
Oropharynx,M,31,0,0.00881680150390497
Oropharynx,M,32,0,0.022399180904008213
Oropharynx,M,33,0,0.04367238481475121
Oropharynx,M,34,1,0.07390052163420745
Oropharynx,M,35,0,0.11458014306797584
Oropharynx,M,36,0,0.16818774221631838
Oropharynx,M,37,0,0.23731629586939826
Oropharynx,M,38,0,0.32415918804004956
Oropharynx,M,39,0,0.430675688768142
Oropharynx,M,40,0,0.5581521878645993
Oropharynx,M,41,1,0.707131857442558
Oropharynx,M,42,2,0.8776477047971896
Oropharynx,M,43,1,1.0699840397796223
Oropharynx,M,44,0,1.285913264408274
Oropharynx,M,45,0,1.5272504842419379
Oropharynx,M,46,1,1.793085661332639
Oropharynx,M,47,6,2.081430457124442
Oropharynx,M,48,0,2.3895459256179645
Oropharynx,M,49,2,2.7172688051783362
Oropharynx,M,50,3,3.0643744445931236
Oropharynx,M,51,3,3.427978466014945
Oropharynx,M,52,0,3.80555148305223
Oropharynx,M,53,6,4.191176337351417
Oropharynx,M,54,5,4.577729362617158
Oropharynx,M,55,6,4.957389884727451
Oropharynx,M,56,8,5.323731763289025
Oropharynx,M,57,3,5.6736939373709685
Oropharynx,M,58,5,6.004795728018733
Oropharynx,M,59,9,6.313334843946233
Oropharynx,M,60,5,6.594337526253853
Oropharynx,M,61,7,6.844368672043305
Oropharynx,M,62,12,7.060128851606395
Oropharynx,M,63,2,7.238683297587581
Oropharynx,M,64,5,7.381718710091462
Oropharynx,M,65,11,7.484591324275245
Oropharynx,M,66,8,7.541167869371651
Oropharynx,M,67,9,7.547632798105246
Oropharynx,M,68,9,7.50217628673312
Oropharynx,M,69,7,7.405911403192434
Oropharynx,M,70,6,7.260842021695775
Oropharynx,M,71,10,7.069306980621203
Oropharynx,M,72,7,6.832731419759488
Oropharynx,M,73,7,6.555608168932338
Oropharynx,M,74,6,6.243484266577538
Oropharynx,M,75,6,5.902432343818778
Oropharynx,M,76,6,5.538335925126796
Oropharynx,M,77,3,5.157468791594281
Oropharynx,M,78,4,4.765737577430727
Oropharynx,M,79,4,4.366721432967079
Oropharynx,M,80,5,3.962244673402822
