Age,Gender,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
  79 Year,Male,6764,8442,7224,6901,8155,7981,7616,6373,5381,5452,5870,5242,4973,4705,4424,4399,4246,3773,3623,3213,3007,2750,2914,2817,2607,2555,2417,2463,2430,2321,2287,2296,2345,2448,2335,na,na,na,na,na,na,na,na,na,1123
  80 Year,Male,8053,6905,6566,7652,7549,7281,6065,5113,5169,5542,4922,4704,4443,4161,4065,3975,3510,3355,2988,2818,2649,2610,2633,2396,2311,2183,2235,2188,2114,2092,2077,2137,2202,2099,1969,na,na,na,na,na,na,na,na,na,930
  81 Year,Male,6523,6239,7278,7034,6835,5722,4811,4874,5236,4637,4394,4156,3889,3788,3635,3303,3130,2758,2594,2472,2421,2334,2207,2128,1930,2012,1939,1889,1851,1873,1929,2002,1877,1783,1579,na,na,na,na,na,na,na,na,na,620
  82 Year,Male,5860,6830,6643,6369,5348,4533,4603,4904,4340,4075,3875,3611,3530,3370,3014,2914,2565,2365,2262,2207,2141,1964,1976,1779,1793,1731,1699,1642,1657,1732,1790,1693,1593,1425,1462,na,na,na,na,na,na,na,na,na,535
  83 Year,Male,6399,6196,5916,4955,4204,4293,4576,4016,3813,3601,3335,3250,3093,2778,2686,2346,2150,2050,2006,1939,1800,1705,1626,1632,1538,1485,1463,1463,1551,1585,1517,1436,1245,1296,1161,na,na,na,na,na,na,na,na,na,432
  84 Year,Male,5757,5481,4616,3876,3950,4248,3724,3493,3326,3077,2989,2851,2541,2461,2132,1980,1845,1784,1751,1610,1551,1405,1487,1374,1300,1301,1277,1359,1388,1328,1253,1107,1159,1028,857,na,na,na,na,na,na,na,na,na,318
  10 Year,Female,19898,20310,19759,18303,19776,20256,21144,20274,20208,20087,19784,20943,21048,23393,23002,22154,23875,23963,24505,24550,25323,24778,25101,25665,24241,26104,23438,19471,19820,20626,19312,20382,19817,20141,19239,19029,18172,19286,18898,19203,20937,22403,21624,21473,19909
  11 Year,Female,20465,20166,18625,19382,20156,21211,20246,20249,20100,19740,20882,20969,23369,22942,22203,24162,24120,24524,24675,25451,24790,24977,25729,24272,26164,23496,19578,19914,20708,19371,20442,19879,20218,19341,19274,18266,19380,18925,19259,21022,22464,21654,21465,19931,20840
  12 Year,Female,20292,18992,19732,19737,21139,20305,20234,20121,19764,20878,20961,23331,22926,22175,24226,24412,24769,24776,25526,24863,24999,25536,24345,26195,23535,19638,19987,20832,19432,20500,19954,20285,19415,19352,18494,19473,18954,19315,21100,22523,21680,21450,19951,20820,21974
  13 Year,Female,19182,20151,20102,20697,20180,20333,20105,19824,20906,20961,23326,22896,22160,24154,24459,25103,25037,25617,24871,25080,25590,24238,26282,23674,19679,20050,20912,19490,20548,20013,20352,19431,19404,18551,19679,18976,19370,21175,22575,21707,21435,19959,20798,21975,23396
